name,rating,rank,rating_o,rating_d,rank_o,rank_d,season_week,ranking_id,season,week
Air Force,1.0680279840684208,47,4.445664020851114,-3.3776360367826923,30,79,1983.005,20,1983,5.000000000109139
Alabama,16.923544257057916,11,8.865484383743048,8.058059873314868,11,15,1983.005,20,1983,5.000000000109139
Arizona,19.54374528274105,2,13.446483740865252,6.097261541875797,4,27,1983.005,20,1983,5.000000000109139
Arizona State,13.190839730263884,23,6.281712500518594,6.909127229745291,21,21,1983.005,20,1983,5.000000000109139
Arkansas,8.74346665999745,29,-1.3138715115584132,10.057338171555864,69,5,1983.005,20,1983,5.000000000109139
Army,-14.95375333983461,99,-11.800867966080322,-3.1528853737542883,108,77,1983.005,20,1983,5.000000000109139
Auburn,15.805238942510396,14,5.106738064821972,10.698500877688424,24,4,1983.005,20,1983,5.000000000109139
BYU,11.500836161138952,25,14.01851841718308,-2.517682256044129,3,74,1983.005,20,1983,5.000000000109139
Ball State,-12.097653676190443,95,-7.307355211106064,-4.79029846508438,92,88,1983.005,20,1983,5.000000000109139
Baylor,-1.7741748644864614,66,0.2250487432525461,-1.9992236077390075,52,72,1983.005,20,1983,5.000000000109139
Boston College,8.189573482803212,30,7.168808412038121,1.0207650707650906,19,55,1983.005,20,1983,5.000000000109139
Bowling Green,-4.186091562178742,76,-0.5857521808750954,-3.6003393813036464,61,82,1983.005,20,1983,5.000000000109139
Cal State Fullerton,-9.570233464151226,91,-8.79837994936555,-0.7718535147856764,103,65,1983.005,20,1983,5.000000000109139
California,2.974494623381914,42,-0.3739398594141605,3.3484344827960744,56,37,1983.005,20,1983,5.000000000109139
Central Michigan,-4.49522054462069,78,-1.001136223562188,-3.494084321058501,63,81,1983.005,20,1983,5.000000000109139
Cincinnati,4.50033564278957,40,-1.0617590635457042,5.562094706335274,64,31,1983.005,20,1983,5.000000000109139
Clemson,14.288068853117927,21,6.079238849206333,8.208830003911594,22,13,1983.005,20,1983,5.000000000109139
Colorado,-1.4438281470008292,63,-0.4220984540244292,-1.0217296929764,57,67,1983.005,20,1983,5.000000000109139
Colorado State,-14.278745076270743,97,-9.07979042365996,-5.198954652610781,105,91,1983.005,20,1983,5.000000000109139
Drake,-26.989099960448023,112,-8.5408888693389,-18.448211091109123,100,112,1983.005,20,1983,5.000000000109139
Duke,-0.4314714983639263,58,4.683469045289746,-5.114940543653672,28,90,1983.005,20,1983,5.000000000109139
East Carolina,2.851086737050485,43,2.502957677522329,0.3481290595281556,44,58,1983.005,20,1983,5.000000000109139
Eastern Michigan,-21.83683984184143,109,-18.42385651352951,-3.4129833283119217,113,80,1983.005,20,1983,5.000000000109139
Florida,15.06997097615233,19,6.687778452933266,8.382192523219064,20,11,1983.005,20,1983,5.000000000109139
Florida State,18.153757455599056,6,18.75757962167929,-0.6038221660802408,2,63,1983.005,20,1983,5.000000000109139
Fresno State,-0.8248705522368027,61,4.777097585888564,-5.601968138125367,27,92,1983.005,20,1983,5.000000000109139
Georgia,19.01779465451854,4,8.079965895670988,10.937828758847552,15,3,1983.005,20,1983,5.000000000109139
