name,wins,losses,ties,record,ranking_id,season_week,season
Air Force,6,4,0,6-4,10,1982.01,1982
Alabama,6,2,0,6-2,10,1982.01,1982
Arizona,5,2,1,5-2-1,10,1982.01,1982
Arizona State,9,0,0,9-0,10,1982.01,1982
Arkansas,7,1,0,7-1,10,1982.01,1982
Army,0,5,0,0-5,10,1982.01,1982
Auburn,7,2,0,7-2,10,1982.01,1982
BYU,6,3,0,6-3,10,1982.01,1982
Ball State,4,5,0,4-5,10,1982.01,1982
Baylor,3,5,1,3-5-1,10,1982.01,1982
Boston College,5,2,1,5-2-1,10,1982.01,1982
Bowling Green,6,2,0,6-2,10,1982.01,1982
Cal State Fullerton,1,5,0,1-5,10,1982.01,1982
California,5,4,0,5-4,10,1982.01,1982
Central Michigan,5,3,1,5-3-1,10,1982.01,1982
Cincinnati,3,4,0,3-4,10,1982.01,1982
Clemson,5,1,1,5-1-1,10,1982.01,1982
Colorado,1,7,1,1-7-1,10,1982.01,1982
Colorado State,4,5,0,4-5,10,1982.01,1982
Drake,1,5,0,1-5,10,1982.01,1982
Duke,5,4,0,5-4,10,1982.01,1982
East Carolina,3,4,0,3-4,10,1982.01,1982
Eastern Michigan,1,6,0,1-6,10,1982.01,1982
Florida,5,3,0,5-3,10,1982.01,1982
Florida State,7,1,0,7-1,10,1982.01,1982
Fresno State,6,0,0,6-0,10,1982.01,1982
Georgia,9,0,0,9-0,10,1982.01,1982
Georgia Tech,4,4,0,4-4,10,1982.01,1982
Hawai'i,4,3,0,4-3,10,1982.01,1982
Houston,2,5,1,2-5-1,10,1982.01,1982
Illinois,6,4,0,6-4,10,1982.01,1982
Illinois State,0,5,0,0-5,10,1982.01,1982
Indiana,4,5,0,4-5,10,1982.01,1982
Indiana State,4,4,0,4-4,10,1982.01,1982
Iowa,5,4,0,5-4,10,1982.01,1982
Iowa State,4,4,1,4-4-1,10,1982.01,1982
Kansas,2,5,2,2-5-2,10,1982.01,1982
Kansas State,4,3,1,4-3-1,10,1982.01,1982
Kent State,0,8,0,0-8,10,1982.01,1982
Kentucky,0,8,1,0-8-1,10,1982.01,1982
LSU,7,0,1,7-0-1,10,1982.01,1982
Long Beach State,3,5,0,3-5,10,1982.01,1982
Louisiana,4,1,0,4-1,10,1982.01,1982
Louisville,3,5,0,3-5,10,1982.01,1982
Maryland,7,2,0,7-2,10,1982.01,1982
Memphis,0,9,0,0-9,10,1982.01,1982
Miami,5,4,0,5-4,10,1982.01,1982
Miami (OH),7,2,0,7-2,10,1982.01,1982
Michigan,7,2,0,7-2,10,1982.01,1982
Michigan State,1,8,0,1-8,10,1982.01,1982
Minnesota,3,6,0,3-6,10,1982.01,1982
Mississippi State,2,6,0,2-6,10,1982.01,1982
Missouri,4,3,2,4-3-2,10,1982.01,1982
NC State,4,4,0,4-4,10,1982.01,1982
Navy,4,4,0,4-4,10,1982.01,1982
Nebraska,8,1,0,8-1,10,1982.01,1982
New Mexico,8,1,0,8-1,10,1982.01,1982
New Mexico State,2,7,0,2-7,10,1982.01,1982
North Carolina,5,3,0,5-3,10,1982.01,1982
North Texas,0,7,0,0-7,10,1982.01,1982
Northern Illinois,3,5,0,3-5,10,1982.01,1982
Northwestern,3,7,0,3-7,10,1982.01,1982
Notre Dame,6,1,1,6-1-1,10,1982.01,1982
Ohio,5,4,0,5-4,10,1982.01,1982
Ohio State,6,3,0,6-3,10,1982.01,1982
Oklahoma,7,2,0,7-2,10,1982.01,1982
Oklahoma State,2,4,2,2-4-2,10,1982.01,1982
Ole Miss,4,5,0,4-5,10,1982.01,1982
Oregon,0,8,1,0-8-1,10,1982.01,1982
Oregon State,0,8,1,0-8-1,10,1982.01,1982
Pacific,1,5,0,1-5,10,1982.01,1982
Penn State,8,1,0,8-1,10,1982.01,1982
Pittsburgh,7,1,0,7-1,10,1982.01,1982
Purdue,3,6,0,3-6,10,1982.01,1982
